id,model,scale,config,effective_bits,effective_bits_basis,basis,corroborated,ppl_wikitext2,zeroshot_avg,mmlu,gsm8k,mem,latency_or_speed,energy,notes
Ma2024-BitNetB158,BitNet b1.58,3B,W1.58A8 100B tok,1.58,nominal,preprint + ext. repro,yes,matches FP16 @3B,matches FP16 @3B,,,3.55x less GPU mem @3B,2.71x faster @3B; 4.1x @70B,71x less matmul energy 7nm,8.9x throughput @70B; 13B beats 3B FP16 on all cost axes
Ma2025-BitNet2B4T,BitNet b1.58 2B4T,2B,W1.58A8 4T tok,1.58,nominal,preprint + Sec.10,yes,,54.19 (Qwen2.5-1.5B 55.23),53.17,58.38,0.4 GB non-emb,29 ms CPU decode,0.028 J/decode,Qwen2.5-1.5B ref 2.6GB/65ms/0.347J; beats Qwen INT4-AWQ (MMLU 57.4 @0.7GB)
Wang2024-BitNetA48,BitNet a4.8,7B,W1.58A4 hybrid,1.58,nominal,preprint,no,≈ b1.58,≈ b1.58 (std err 1.06%),,,,faster (INT4 kernels),,55% active params; 3-bit KV negligible loss
Wang2025-BitNetV2,BitNet v2,7B,W1.58A8 / A4 H-BitLinear,1.58,nominal,preprint,no,minimal vs b1.58,+0.16/0.49/0.61% avg over b1.58 @1.3/3/7B,,,,,,A4 beats a4.8 downstream @3B/7B; beats QuaRot/SpinQuant @W1.58A4
Kaushal2024-Spectra,TriLM (Spectra),3.9B,ternary 300B tok,1.58,nominal,ICLR25 + ext. repro,yes,higher ppl than FP,matches FloatLM 3.9B across benchmarks,,,5.9x smaller bitsize,max speedup plateau 10x (vs 4x INT4),,beats QuantLM and FloatLM per-bit @>1B; toxicity == FloatLM 3.9B
Vaidhya2025-Spectra11,TriLM (Spectra-1.1),<=3.9B,ternary up to 1.2T tok,1.58,nominal,preprint + ext. repro,yes,,beats Spectra @ matched size (MMLU),consistently higher,,,TriRun GPU 4.9x e2e @70B L40S; 78x layer high-batch,,TQ1 1.6-bit / TQ2 2-bit CPU packing; data beats params
Liu2025-ParetoQ,ParetoQ ternary,600M,unified 1-4 bit QAT,1.58,nominal,NeurIPS + ext. repro,yes,,beats prior SoTA 3B ternary,,,1/5 params of 3B SoTA,2-bit best for mem+speed,,"learning transition 2→3 bits; ternary/2/3-bit share frontier, beat 4-bit and binary"
Huang2024-BiLLM,BiLLM,LLaMA2-70B,1.08-bit PTQ,2.88,"effective; strict accounting incl. group scales/bitmaps [Chong2026-NanoQuant], vs. 1.08 nominal code",ICML,yes,8.41,,,,,binarize 7B in 0.5h / 1 GPU,,SOTA 1-bit PTQ at publication
Chen2024-DBLLM,DB-LLM,7-13B,2-bit dual-binary PTQ,2.0,nominal,ACL-Findings,yes,9.64 → 7.23,,,,,+20% compute reduction at same bit-width,,
Xu2024-OneBit,OneBit,LLaMA 7-13B,1-bit QAT,1.0,nominal,NeurIPS,yes,,>= 81% of FP16 perf,,,,,,robust training
Ma2024-FBILLM,FBI-LLM,130M/1.3B/7B,binary from scratch,1.0,nominal,preprint,no,≈ matches FP magnitude,,,,,,,fully open models+data
Li2024-ARBLLM,ARB-LLM_RC,7-70B,binary PTQ,1.1,nominal; author-reported average incl. residual,ICLR25,yes,< FP16 same size,first binary PTQ to surpass FP16 same size,,,,,,
