id,local_file,year,venue,first_author,weight_repr,paradigm,components,act_bits,opt_mechanism,systems_layers,modality,scale,peer_reviewed,indep_check,basis,corroborated,key_contribution
Bengio2013-STE,2013_Bengio_estimating-propagating-gradients-STE.pdf,2013,arXiv,Bengio,binary,background,W,NA,STE-origin,algorithm,background,NA,n,n,preprint,no,Introduces the straight-through estimator for non-differentiable units
Courbariaux2015-BinaryConnect,2015_Courbariaux_binaryconnect.pdf,2015,NeurIPS,Courbariaux,binary,native-scratch,W,32,scaled-STE+latent-weights,algorithm,vision,NA,y,n,NeurIPS,yes,Binary weights in fwd/bwd with FP latent weights; regularizer effect
Rastegari2016-XNORNet,2016_Rastegari_xnor-net.pdf,2016,ECCV,Rastegari,binary,native-scratch,W+A,1,scaled-STE,algo+kernel,vision,NA,y,n,ECCV,yes,Binary weight + binary activation CNN via XNOR/bitcount
Bai2021-BinaryBERT,2020_Bai_binarybert.pdf,2021,ACL,Bai,binary,QAT-finetune,W+A,8,ternary-weight-splitting+distill,algorithm,text-encoder,110M,y,n,ACL,yes,Binary BERT initialized by splitting a half-size ternary net
Qin2022-BiBERT,2022_Qin_bibert.pdf,2022,ICLR,Qin,binary,QAT-finetune,W+A+emb,1,Bi-Attention+direction-matching-distill,algorithm,text-encoder,110M,y,n,ICLR,yes,Fully binarized BERT; info-retention attention + DMD
Kim2023-TSLD,2023_Kim_token-scaled-logit-distillation-ternary-generative-lm.pdf,2023,NeurIPS,Kim,ternary,QAT-finetune,W,16,token-scaled-logit-distillation,algorithm,text-decoder,1.3-6.7B,y,n,NeurIPS,yes,First ternary QAT of large generative LMs with <1 ppl loss
Wang2023-BitNet,2023_Wang_bitnet-scaling-1bit-transformers.pdf,2023,arXiv,Wang,binary,native-scratch,W+A,8,scaled-STE(BitLinear-absmax),algo+kernel,text-decoder,125M-6.7B,y,n,JMLR25,yes,BitLinear: 1-bit Transformer from scratch; FP-like scaling law
Shang2023-PBLLM,2023_Yuan_pb-llm-partially-binarized.pdf,2023,ICLR-2024,Shang,mixed-partial,PTQ,W,16,salient-keep+Hessian-recon,algorithm,text-decoder,7-13B,y,n,ICLR24,yes,Partial binarization keeping salient weights in higher precision
Ansar2024-BEExformer,2024_BEExformer-binarized-transformer-early-exits.pdf,2024,IEEE-TSUSC-2026,Ansar,binary,native-scratch,W,16,2nd-order-sign-approx+early-exit,algorithm,text-encoder,<1B,y,n,IEEE-TSUSC26,yes,Binarization-aware training + entropy-based early exits
Chen2024-DBLLM,2024_Chen_db-llm-dual-binarization.pdf,2024,ACL-Findings-2024,Chen,binary,PTQ,W,16,flexible-dual-binarization+deviation-aware-distill,algorithm,text-decoder,7-13B,y,n,ACL-Findings,yes,2-bit as two binaries (FDB) + deviation-aware distillation
Chen2024-EfficientQAT,2024_Chen_efficientqat.pdf,2024,ACL-2025,Chen,mixed-partial,QAT-finetune,W,16,block-wise-AP+E2E-stepsize,algorithm,text-decoder,7-70B,y,n,ACL25,yes,Block-AP + E2E-QP: 2-bit 70B on one A100 in 41h
Daliri2024-Theory1bit,2024_Daliri_unlocking-theory-scaling-1bit-neural-networks.pdf,2024,arXiv,Daliri,binary,analysis,W,NA,NA,algorithm,theory,NA,n,n,preprint,no,First proof of a scaling law for 1-bit NNs via NTK/kernel limit
Dong2024-STBLLM,2024_Dong_stbllm-breaking-1bit-barrier-structural-binarization.pdf,2024,ICLR25,Dong,binary,PTQ,W,16,NM-sparsity+standardized-importance,algo+kernel,text-decoder,7-70B,y,n,ICLR25,yes,First structural binarization <1-bit via N:M sparsity + CUDA kernel
Du2024-BitDistiller,2024_Du_bitdistiller.pdf,2024,ACL,Du,mixed-partial,QAT-finetune,W,16,self-distillation-CAKLD+asym-clip,algorithm,text-decoder,1-34B,y,n,ACL,yes,QAT+self-distillation for sub-4-bit; confidence-aware KL
Das2024-GenBFA,2024_GenBFA-bit-flip-attacks-on-llms.pdf,2024,arXiv,Das,n/a,analysis,W,8,evolutionary-search,NA,security,NA,n,n,preprint,no,Three bit-flips collapse a billion-param LLM (AttentionBreaker)
Gong2024-SurveyLowbit,2024_Gong_survey-low-bit-llms.pdf,2024,Neural-Networks-2025,Gong,n/a,survey,NA,NA,NA,NA,survey,NA,y,n,Neural-Networks25,yes,Broad low-bit LLM survey: basics/systems/algorithms (competitor)
Huang2024-BiLLM,2024_Huang_billm-ptq-limit.pdf,2024,ICML,Huang,binary,PTQ,W,16,salient-split+binary-residual-approx,algorithm,text-decoder,7-70B,y,n,ICML,yes,First near-1-bit PTQ for LLMs; residual + bell-split
Jo2024-BinaryMoS,2024_Jo_binarymos-mixture-of-scales-binary-llm.pdf,2024,NeurIPS,Jo,binary,QAT-finetune,W,16,token-adaptive-scaling-experts,algorithm,text-decoder,1-13B,y,n,NeurIPS,yes,Token-adaptive scaling factors (mixture of scales) for binary LLMs
Kaushal2024-Spectra,2024_Kaushal_spectra-ternary-quantized-fp16-lms.pdf,2024,ICLR-2025,Kaushal,ternary,native-scratch,W,16,scaled-STE(TriLM),algorithm,text-decoder,99M-3.9B,y,ext,ICLR25 + ext. repro,yes,Spectra/TriLM open suite; ternary beats QuantLM/FloatLM per bit >1B
Zhao2024-DQT,2024_Kimura_direct-quantized-training-stochastic-rounding.pdf,2024,ACML-2025(PMLR),Zhao,ternary,native-scratch,W,8,stochastic-rounding(no-STE-no-latent),algorithm,text-decoder,<1B,y,n,ACML25,yes,Direct low-precision training without STE or latent weights
Kumar2024-ScalingLawsPrecision,2024_Kumar_scaling-laws-for-precision.pdf,2024,ICLR25,Kumar,n/a,analysis,W+A,var,NA,algorithm,theory,<=1.7B,y,n,ICLR25,yes,Precision-aware scaling laws; low precision = fewer effective params
Li2024-ARBLLM,2024_Li_arb-llm-alternating-refined-binarization.pdf,2024,ICLR25,Li,binary,PTQ,W,16,alternating-refined-binarization+column-bitmap,algorithm,text-decoder,7-70B,y,n,ICLR25,yes,Binary PTQ first to surpass FP16 of same size (ARB-LLM_RC)
Ma2024-BitNetB158,2024_Ma_era-of-1bit-llms-bitnet-b1.58.pdf,2024,arXiv,Ma,ternary,native-scratch,W+A,8,scaled-STE(absmean),algo+kernel+hw,text-decoder,700M-3.9B,n,ext,preprint + ext. repro,yes,BitNet b1.58: ternary weights match FP16 at scale; new scaling law
Ma2024-FBILLM,2024_Ma_fbi-llm-fully-binarized.pdf,2024,arXiv,Ma,binary,native-scratch,W,16,autoregressive-distillation,algorithm,text-decoder,130M-7B,n,n,preprint,no,First fully-binary LLM from scratch via autoregressive distillation
Malekar2024-MatmulOrNot,2024_Malekar_matmul-or-no-matmul-era-1bit-llms.pdf,2024,arXiv,Malekar,n/a,analysis,NA,NA,NA,hardware,analysis,NA,n,n,preprint,no,Amdahl's-law analysis of realistic 1-bit LLM compute/memory gains
Malinovskii2024-PVTuning,2024_Malinovskii_pv-tuning-beyond-ste.pdf,2024,NeurIPS(oral),Malinovskii,mixed-partial,QAT-finetune,W,16,PV-coordinate-descent(beyond-STE),algorithm,text-decoder,7-70B,y,n,NeurIPS(oral),yes,Representation-agnostic fine-tuning beyond STE; 2-bit Pareto-optimal
Nielsen2024-Reloaded,2024_Nielsen_bitnet-b1.58-reloaded.pdf,2024,DeLTA-2024,Nielsen,ternary,native-scratch,W+A,8,scaled-STE+median,algorithm,small-LM/vision,100K-48M,y,n,DeLTA,yes,b1.58 on tiny models; 16<->1.58-bit scaling law; median quantizer
